[23:40:04.685] [INFO   ] thread main starting.
[23:40:04.725] [SEVERE ] cannot read configuration file config.properties trying from resources.
[23:40:41.944] [SEVERE ] updating countdown to 26155
[23:40:42.054] [SEVERE ] updating countdown to 26045
[23:40:42.166] [SEVERE ] updating countdown to 25933
[23:40:42.274] [SEVERE ] updating countdown to 25825
[23:40:42.383] [SEVERE ] updating countdown to 25716
[23:40:42.492] [SEVERE ] updating countdown to 25607
[23:40:42.599] [SEVERE ] updating countdown to 25500
[23:40:42.707] [SEVERE ] updating countdown to 25392
[23:40:42.816] [SEVERE ] updating countdown to 25283
[23:40:42.925] [SEVERE ] updating countdown to 25174
[23:40:43.035] [SEVERE ] updating countdown to 25064
[23:40:43.144] [SEVERE ] updating countdown to 24955
[23:40:43.253] [SEVERE ] updating countdown to 24846
[23:40:43.363] [SEVERE ] updating countdown to 24736
[23:40:43.471] [SEVERE ] updating countdown to 24628
[23:40:43.580] [SEVERE ] updating countdown to 24519
[23:40:43.689] [SEVERE ] updating countdown to 24410
[23:40:43.797] [SEVERE ] updating countdown to 24302
[23:40:43.905] [SEVERE ] updating countdown to 24194
[23:40:44.012] [SEVERE ] updating countdown to 24087
[23:40:44.123] [SEVERE ] updating countdown to 23976
[23:40:44.232] [SEVERE ] updating countdown to 23867
[23:40:44.342] [SEVERE ] updating countdown to 23757
[23:40:44.450] [SEVERE ] updating countdown to 23649
[23:40:44.559] [SEVERE ] updating countdown to 23540
[23:40:44.668] [SEVERE ] updating countdown to 23431
[23:40:44.778] [SEVERE ] updating countdown to 23321
[23:40:44.886] [SEVERE ] updating countdown to 23213
[23:40:44.995] [SEVERE ] updating countdown to 23104
[23:40:45.104] [SEVERE ] updating countdown to 22995
[23:40:45.213] [SEVERE ] updating countdown to 22886
[23:40:45.322] [SEVERE ] updating countdown to 22777
[23:40:45.430] [SEVERE ] updating countdown to 22669
[23:40:45.539] [SEVERE ] updating countdown to 22560
[23:40:45.647] [SEVERE ] updating countdown to 22452
[23:40:45.756] [SEVERE ] updating countdown to 22343
[23:40:45.866] [SEVERE ] updating countdown to 22233
[23:40:45.975] [SEVERE ] updating countdown to 22124
[23:40:46.084] [SEVERE ] updating countdown to 22015
[23:40:46.191] [SEVERE ] updating countdown to 21908
[23:40:46.301] [SEVERE ] updating countdown to 21798
[23:40:46.411] [SEVERE ] updating countdown to 21688
[23:40:46.519] [SEVERE ] updating countdown to 21580
[23:40:46.630] [SEVERE ] updating countdown to 21469
[23:40:46.738] [SEVERE ] updating countdown to 21361
[23:40:46.849] [SEVERE ] updating countdown to 21250
[23:40:46.956] [SEVERE ] updating countdown to 21143
[23:40:47.066] [SEVERE ] updating countdown to 21033
[23:40:47.177] [SEVERE ] updating countdown to 20922
[23:40:47.286] [SEVERE ] updating countdown to 20813
[23:40:47.396] [SEVERE ] updating countdown to 20703
[23:40:47.504] [SEVERE ] updating countdown to 20595
[23:40:47.613] [SEVERE ] updating countdown to 20486
[23:40:47.724] [SEVERE ] updating countdown to 20375
[23:40:47.833] [SEVERE ] updating countdown to 20266
[23:40:47.940] [SEVERE ] updating countdown to 20159
[23:40:48.049] [SEVERE ] updating countdown to 20050
[23:40:48.157] [SEVERE ] updating countdown to 19942
[23:40:48.264] [SEVERE ] updating countdown to 19835
[23:40:48.373] [SEVERE ] updating countdown to 19726
[23:40:48.482] [SEVERE ] updating countdown to 19617
[23:40:48.593] [SEVERE ] updating countdown to 19506
[23:40:48.702] [SEVERE ] updating countdown to 19397
[23:40:48.813] [SEVERE ] updating countdown to 19286
[23:40:48.922] [SEVERE ] updating countdown to 19177
[23:40:49.029] [SEVERE ] updating countdown to 19070
[23:40:49.138] [SEVERE ] updating countdown to 18961
[23:40:49.246] [SEVERE ] updating countdown to 18853
[23:40:49.356] [SEVERE ] updating countdown to 18743
[23:40:49.464] [SEVERE ] updating countdown to 18635
[23:40:49.574] [SEVERE ] updating countdown to 18525
[23:40:49.684] [SEVERE ] updating countdown to 18415
[23:40:49.794] [SEVERE ] updating countdown to 18305
[23:40:49.903] [SEVERE ] updating countdown to 18196
[23:40:50.012] [SEVERE ] updating countdown to 18087
[23:40:50.122] [SEVERE ] updating countdown to 17977
[23:40:50.231] [SEVERE ] updating countdown to 17868
[23:40:50.342] [SEVERE ] updating countdown to 17757
[23:40:50.450] [SEVERE ] updating countdown to 17649
[23:40:50.558] [SEVERE ] updating countdown to 17541
[23:40:50.667] [SEVERE ] updating countdown to 17432
[23:40:50.777] [SEVERE ] updating countdown to 17322
[23:40:50.888] [SEVERE ] updating countdown to 17211
[23:40:50.995] [SEVERE ] updating countdown to 17104
[23:40:51.105] [SEVERE ] updating countdown to 16994
[23:40:51.213] [SEVERE ] updating countdown to 16886
[23:40:51.322] [SEVERE ] updating countdown to 16777
[23:40:51.432] [SEVERE ] updating countdown to 16667
[23:40:51.542] [SEVERE ] updating countdown to 16557
[23:40:51.649] [SEVERE ] updating countdown to 16450
[23:40:51.758] [SEVERE ] updating countdown to 16341
[23:40:51.866] [SEVERE ] updating countdown to 16233
[23:40:51.975] [SEVERE ] updating countdown to 16124
[23:40:52.084] [SEVERE ] updating countdown to 16015
[23:40:52.194] [SEVERE ] updating countdown to 15905
[23:40:52.302] [SEVERE ] updating countdown to 15797
[23:40:52.411] [SEVERE ] updating countdown to 15688
[23:40:52.520] [SEVERE ] updating countdown to 15579
[23:40:52.628] [SEVERE ] updating countdown to 15471
[23:40:52.738] [SEVERE ] updating countdown to 15361
[23:40:52.847] [SEVERE ] updating countdown to 15252
[23:40:52.957] [SEVERE ] updating countdown to 15142
